condition,prompt_id,sample,beta_ratio,temperature,intervened_layers,attention_layer,attention_entropy
baseline,p004,0,1.0,0.0,all,3,0.2570075988769531
baseline,p004,0,1.0,0.0,all,4,0.28341710567474365
baseline,p004,0,1.0,0.0,all,5,0.32057538628578186
baseline,p004,0,1.0,0.0,all,6,0.3781568109989166
baseline,p004,0,1.0,0.0,all,7,0.4445384740829468
baseline,p004,0,1.0,0.0,all,8,0.40457114577293396
baseline,p004,0,1.0,0.0,all,9,0.394065797328949
baseline,p004,0,1.0,0.0,all,10,0.31347885727882385
baseline,p004,0,1.0,0.0,all,11,0.2774297297000885
baseline,p004,0,1.0,0.0,all,12,0.23609662055969238
baseline,p004,0,1.0,0.0,all,13,0.20635691285133362
baseline,p004,0,1.0,0.0,all,14,0.23729932308197021
baseline,p004,0,1.0,0.0,all,15,0.24347853660583496
baseline,p005,0,1.0,0.0,all,0,0.41098037362098694
baseline,p005,0,1.0,0.0,all,1,0.20087634027004242
baseline,p005,0,1.0,0.0,all,2,0.1869029700756073
baseline,p005,0,1.0,0.0,all,3,0.25937405228614807
baseline,p005,0,1.0,0.0,all,4,0.2960497736930847
baseline,p005,0,1.0,0.0,all,5,0.33169445395469666
baseline,p005,0,1.0,0.0,all,6,0.4107173681259155
baseline,p005,0,1.0,0.0,all,7,0.4253478944301605
baseline,p005,0,1.0,0.0,all,8,0.42760294675827026
baseline,p005,0,1.0,0.0,all,9,0.4031524658203125
baseline,p005,0,1.0,0.0,all,10,0.33352482318878174
baseline,p005,0,1.0,0.0,all,11,0.26913660764694214
baseline,p005,0,1.0,0.0,all,12,0.23331232368946075
baseline,p005,0,1.0,0.0,all,13,0.20313654839992523
baseline,p005,0,1.0,0.0,all,14,0.20616111159324646
baseline,p005,0,1.0,0.0,all,15,0.22105814516544342
baseline,p006,0,1.0,0.0,all,0,0.4013329744338989
baseline,p006,0,1.0,0.0,all,1,0.18761540949344635
baseline,p006,0,1.0,0.0,all,2,0.1844787299633026
baseline,p006,0,1.0,0.0,all,3,0.2624463438987732
baseline,p006,0,1.0,0.0,all,4,0.2942693829536438
baseline,p006,0,1.0,0.0,all,5,0.3256831467151642
baseline,p006,0,1.0,0.0,all,6,0.37198877334594727
baseline,p006,0,1.0,0.0,all,7,0.43979382514953613
baseline,p006,0,1.0,0.0,all,8,0.39727723598480225
baseline,p006,0,1.0,0.0,all,9,0.3954124450683594
baseline,p006,0,1.0,0.0,all,10,0.30401289463043213
baseline,p006,0,1.0,0.0,all,11,0.27064964175224304
baseline,p006,0,1.0,0.0,all,12,0.23195672035217285
baseline,p006,0,1.0,0.0,all,13,0.2004685252904892
baseline,p006,0,1.0,0.0,all,14,0.22096794843673706
baseline,p006,0,1.0,0.0,all,15,0.22995297610759735
baseline,p007,0,1.0,0.0,all,0,0.4016229212284088
baseline,p007,0,1.0,0.0,all,1,0.18670335412025452
baseline,p007,0,1.0,0.0,all,2,0.1844886690378189
baseline,p007,0,1.0,0.0,all,3,0.2520584762096405
baseline,p007,0,1.0,0.0,all,4,0.2928674817085266
baseline,p007,0,1.0,0.0,all,5,0.3408221900463104
baseline,p007,0,1.0,0.0,all,6,0.3704691529273987
baseline,p007,0,1.0,0.0,all,7,0.43751317262649536
baseline,p007,0,1.0,0.0,all,8,0.394260436296463
baseline,p007,0,1.0,0.0,all,9,0.39098796248435974
baseline,p007,0,1.0,0.0,all,10,0.2862287163734436
baseline,p007,0,1.0,0.0,all,11,0.24531133472919464
baseline,p007,0,1.0,0.0,all,12,0.1851600557565689
baseline,p007,0,1.0,0.0,all,13,0.18467411398887634
baseline,p007,0,1.0,0.0,all,14,0.17907778918743134
baseline,p007,0,1.0,0.0,all,15,0.20326632261276245
baseline,p008,0,1.0,0.0,all,0,0.40781742334365845
baseline,p008,0,1.0,0.0,all,1,0.20307065546512604
baseline,p008,0,1.0,0.0,all,2,0.1902265101671219
baseline,p008,0,1.0,0.0,all,3,0.2746453285217285
baseline,p008,0,1.0,0.0,all,4,0.29468804597854614
baseline,p008,0,1.0,0.0,all,5,0.34374913573265076
baseline,p008,0,1.0,0.0,all,6,0.40495020151138306
baseline,p008,0,1.0,0.0,all,7,0.42834654450416565
baseline,p008,0,1.0,0.0,all,8,0.42020025849342346
baseline,p008,0,1.0,0.0,all,9,0.39923542737960815
baseline,p008,0,1.0,0.0,all,10,0.3148297667503357
baseline,p008,0,1.0,0.0,all,11,0.25985780358314514
baseline,p008,0,1.0,0.0,all,12,0.21652626991271973
baseline,p008,0,1.0,0.0,all,13,0.18661218881607056
baseline,p008,0,1.0,0.0,all,14,0.20986026525497437
baseline,p008,0,1.0,0.0,all,15,0.2222210019826889
baseline,p009,0,1.0,0.0,all,0,0.3999898135662079
baseline,p009,0,1.0,0.0,all,1,0.20237039029598236
baseline,p009,0,1.0,0.0,all,2,0.17943672835826874
baseline,p009,0,1.0,0.0,all,3,0.26615095138549805
baseline,p009,0,1.0,0.0,all,4,0.2909519076347351
baseline,p009,0,1.0,0.0,all,5,0.3279029428958893
baseline,p009,0,1.0,0.0,all,6,0.38085585832595825
baseline,p009,0,1.0,0.0,all,7,0.4147412180900574
baseline,p009,0,1.0,0.0,all,8,0.41007399559020996
baseline,p009,0,1.0,0.0,all,9,0.38884884119033813
baseline,p009,0,1.0,0.0,all,10,0.3132168650627136
baseline,p009,0,1.0,0.0,all,11,0.26153579354286194
baseline,p009,0,1.0,0.0,all,12,0.22107712924480438
baseline,p009,0,1.0,0.0,all,13,0.2026783525943756
baseline,p009,0,1.0,0.0,all,14,0.20520810782909393
baseline,p009,0,1.0,0.0,all,15,0.21403776109218597
baseline,p010,0,1.0,0.0,all,0,0.4161949157714844
baseline,p010,0,1.0,0.0,all,1,0.19370470941066742
baseline,p010,0,1.0,0.0,all,2,0.18972983956336975
baseline,p010,0,1.0,0.0,all,3,0.26479586958885193
baseline,p010,0,1.0,0.0,all,4,0.29938533902168274
baseline,p010,0,1.0,0.0,all,5,0.337159126996994
baseline,p010,0,1.0,0.0,all,6,0.39947178959846497
baseline,p010,0,1.0,0.0,all,7,0.44826608896255493
baseline,p010,0,1.0,0.0,all,8,0.40896639227867126
baseline,p010,0,1.0,0.0,all,9,0.40220972895622253
baseline,p010,0,1.0,0.0,all,10,0.3133741617202759
baseline,p010,0,1.0,0.0,all,11,0.2589772641658783
baseline,p010,0,1.0,0.0,all,12,0.24458789825439453
baseline,p010,0,1.0,0.0,all,13,0.20348066091537476
baseline,p010,0,1.0,0.0,all,14,0.2467053234577179
baseline,p010,0,1.0,0.0,all,15,0.23239430785179138
baseline,p011,0,1.0,0.0,all,0,0.4066130816936493
baseline,p011,0,1.0,0.0,all,1,0.20427408814430237
baseline,p011,0,1.0,0.0,all,2,0.18463245034217834
baseline,p011,0,1.0,0.0,all,3,0.26849669218063354
baseline,p011,0,1.0,0.0,all,4,0.29086312651634216
baseline,p011,0,1.0,0.0,all,5,0.32274141907691956
baseline,p011,0,1.0,0.0,all,6,0.3931315243244171
baseline,p011,0,1.0,0.0,all,7,0.4190230071544647
baseline,p011,0,1.0,0.0,all,8,0.40541261434555054
baseline,p011,0,1.0,0.0,all,9,0.3954963982105255
baseline,p011,0,1.0,0.0,all,10,0.3295382261276245
baseline,p011,0,1.0,0.0,all,11,0.2659047245979309
baseline,p011,0,1.0,0.0,all,12,0.23151923716068268
baseline,p011,0,1.0,0.0,all,13,0.2051709145307541
baseline,p011,0,1.0,0.0,all,14,0.22021102905273438
baseline,p011,0,1.0,0.0,all,15,0.2416098564863205
baseline,p012,0,1.0,0.0,all,0,0.41728320717811584
baseline,p012,0,1.0,0.0,all,1,0.19193927943706512
baseline,p012,0,1.0,0.0,all,2,0.1882888823747635
baseline,p012,0,1.0,0.0,all,3,0.2525753974914551
baseline,p012,0,1.0,0.0,all,4,0.3060533404350281
baseline,p012,0,1.0,0.0,all,5,0.338501900434494
baseline,p012,0,1.0,0.0,all,6,0.39602741599082947
baseline,p012,0,1.0,0.0,all,7,0.46155232191085815
baseline,p012,0,1.0,0.0,all,8,0.39956292510032654
baseline,p012,0,1.0,0.0,all,9,0.40667879581451416
baseline,p012,0,1.0,0.0,all,10,0.3230706453323364
baseline,p012,0,1.0,0.0,all,11,0.27569636702537537
baseline,p012,0,1.0,0.0,all,12,0.2547478675842285
baseline,p012,0,1.0,0.0,all,13,0.21588140726089478
baseline,p012,0,1.0,0.0,all,14,0.2616409957408905
baseline,p012,0,1.0,0.0,all,15,0.25619083642959595
baseline,p013,0,1.0,0.0,all,0,0.40680983662605286
baseline,p013,0,1.0,0.0,all,1,0.1809476613998413
baseline,p013,0,1.0,0.0,all,2,0.18880146741867065
baseline,p013,0,1.0,0.0,all,3,0.2612569034099579
baseline,p013,0,1.0,0.0,all,4,0.29641255736351013
baseline,p013,0,1.0,0.0,all,5,0.32988330721855164
baseline,p013,0,1.0,0.0,all,6,0.3758087158203125
baseline,p013,0,1.0,0.0,all,7,0.4268587529659271
baseline,p013,0,1.0,0.0,all,8,0.3963265120983124
baseline,p013,0,1.0,0.0,all,9,0.39869940280914307
baseline,p013,0,1.0,0.0,all,10,0.29308417439460754
baseline,p013,0,1.0,0.0,all,11,0.24020080268383026
baseline,p013,0,1.0,0.0,all,12,0.19401250779628754
baseline,p013,0,1.0,0.0,all,13,0.17964719235897064
baseline,p013,0,1.0,0.0,all,14,0.18405315279960632
baseline,p013,0,1.0,0.0,all,15,0.2053854614496231
baseline,p014,0,1.0,0.0,all,0,0.4130639135837555
baseline,p014,0,1.0,0.0,all,1,0.2032785564661026
baseline,p014,0,1.0,0.0,all,2,0.18103556334972382
baseline,p014,0,1.0,0.0,all,3,0.2705152630805969
baseline,p014,0,1.0,0.0,all,4,0.2968166768550873
baseline,p014,0,1.0,0.0,all,5,0.32326894998550415
baseline,p014,0,1.0,0.0,all,6,0.3812049627304077
baseline,p014,0,1.0,0.0,all,7,0.4112842381000519
baseline,p014,0,1.0,0.0,all,8,0.40065741539001465
baseline,p014,0,1.0,0.0,all,9,0.3931869566440582
baseline,p014,0,1.0,0.0,all,10,0.2791581451892853
baseline,p014,0,1.0,0.0,all,11,0.26913490891456604
baseline,p014,0,1.0,0.0,all,12,0.21227070689201355
baseline,p014,0,1.0,0.0,all,13,0.18113943934440613
baseline,p014,0,1.0,0.0,all,14,0.18744497001171112
baseline,p014,0,1.0,0.0,all,15,0.21439382433891296
baseline,p015,0,1.0,0.0,all,0,0.4110175371170044
baseline,p015,0,1.0,0.0,all,1,0.1857895404100418
baseline,p015,0,1.0,0.0,all,2,0.17911086976528168
baseline,p015,0,1.0,0.0,all,3,0.2584664523601532
baseline,p015,0,1.0,0.0,all,4,0.2916589379310608
baseline,p015,0,1.0,0.0,all,5,0.3256930112838745
baseline,p015,0,1.0,0.0,all,6,0.3767423629760742
baseline,p015,0,1.0,0.0,all,7,0.4279044568538666
baseline,p015,0,1.0,0.0,all,8,0.3889314830303192
baseline,p015,0,1.0,0.0,all,9,0.3952926993370056
baseline,p015,0,1.0,0.0,all,10,0.29802167415618896
baseline,p015,0,1.0,0.0,all,11,0.2589591443538666
baseline,p015,0,1.0,0.0,all,12,0.22643938660621643
baseline,p015,0,1.0,0.0,all,13,0.19902019202709198
baseline,p015,0,1.0,0.0,all,14,0.21757705509662628
baseline,p015,0,1.0,0.0,all,15,0.22677567601203918
baseline,p016,0,1.0,0.0,all,0,0.3977508246898651
baseline,p016,0,1.0,0.0,all,1,0.18020838499069214
baseline,p016,0,1.0,0.0,all,2,0.1791495829820633
baseline,p016,0,1.0,0.0,all,3,0.25493189692497253
baseline,p016,0,1.0,0.0,all,4,0.2923750877380371
baseline,p016,0,1.0,0.0,all,5,0.3380255699157715
baseline,p016,0,1.0,0.0,all,6,0.3742618262767792
baseline,p016,0,1.0,0.0,all,7,0.426470547914505
baseline,p016,0,1.0,0.0,all,8,0.3889615535736084
baseline,p016,0,1.0,0.0,all,9,0.39650869369506836
baseline,p016,0,1.0,0.0,all,10,0.29272186756134033
baseline,p016,0,1.0,0.0,all,11,0.25360679626464844
baseline,p016,0,1.0,0.0,all,12,0.19458742439746857
baseline,p016,0,1.0,0.0,all,13,0.1782628446817398
baseline,p016,0,1.0,0.0,all,14,0.17745350301265717
baseline,p016,0,1.0,0.0,all,15,0.20639407634735107
baseline,p017,0,1.0,0.0,all,0,0.39861753582954407
baseline,p017,0,1.0,0.0,all,1,0.19415219128131866
baseline,p017,0,1.0,0.0,all,2,0.17887941002845764
baseline,p017,0,1.0,0.0,all,3,0.267654150724411
baseline,p017,0,1.0,0.0,all,4,0.30350685119628906
baseline,p017,0,1.0,0.0,all,5,0.3395755887031555
baseline,p017,0,1.0,0.0,all,6,0.39313212037086487
baseline,p017,0,1.0,0.0,all,7,0.4127931594848633
baseline,p017,0,1.0,0.0,all,8,0.40559273958206177
baseline,p017,0,1.0,0.0,all,9,0.38601791858673096
baseline,p017,0,1.0,0.0,all,10,0.3249099850654602
baseline,p017,0,1.0,0.0,all,11,0.26503273844718933
baseline,p017,0,1.0,0.0,all,12,0.226138174533844
baseline,p017,0,1.0,0.0,all,13,0.19769933819770813
baseline,p017,0,1.0,0.0,all,14,0.2055385559797287
baseline,p017,0,1.0,0.0,all,15,0.22217141091823578
layer_0,p000,0,0.35,0.0,0,0,0.4083153307437897
layer_0,p000,0,0.35,0.0,0,1,0.19959282875061035
layer_0,p000,0,0.35,0.0,0,2,0.19856604933738708
layer_0,p000,0,0.35,0.0,0,3,0.26577579975128174
layer_0,p000,0,0.35,0.0,0,4,0.3031176030635834
layer_0,p000,0,0.35,0.0,0,5,0.33456888794898987
layer_0,p000,0,0.35,0.0,0,6,0.39360877871513367
layer_0,p000,0,0.35,0.0,0,7,0.45029446482658386
layer_0,p000,0,0.35,0.0,0,8,0.4142233729362488
layer_0,p000,0,0.35,0.0,0,9,0.4011428952217102
layer_0,p000,0,0.35,0.0,0,10,0.3180502653121948
layer_0,p000,0,0.35,0.0,0,11,0.2822984457015991
layer_0,p000,0,0.35,0.0,0,12,0.23612825572490692
layer_0,p000,0,0.35,0.0,0,13,0.20858441293239594
layer_0,p000,0,0.35,0.0,0,14,0.236676424741745
layer_0,p000,0,0.35,0.0,0,15,0.24087919294834137
layer_0,p001,0,0.35,0.0,0,0,0.4036162495613098
layer_0,p001,0,0.35,0.0,0,1,0.19971121847629547
layer_0,p001,0,0.35,0.0,0,2,0.17850947380065918
layer_0,p001,0,0.35,0.0,0,3,0.2661573588848114
layer_0,p001,0,0.35,0.0,0,4,0.30970990657806396
layer_0,p001,0,0.35,0.0,0,5,0.33606284856796265
layer_0,p001,0,0.35,0.0,0,6,0.38571712374687195
layer_0,p001,0,0.35,0.0,0,7,0.42785629630088806
layer_0,p001,0,0.35,0.0,0,8,0.39121824502944946
layer_0,p001,0,0.35,0.0,0,9,0.3876400589942932
layer_0,p001,0,0.35,0.0,0,10,0.28096112608909607
layer_0,p001,0,0.35,0.0,0,11,0.25292202830314636
layer_0,p001,0,0.35,0.0,0,12,0.20893414318561554
layer_0,p001,0,0.35,0.0,0,13,0.18670524656772614
layer_0,p001,0,0.35,0.0,0,14,0.19126921892166138
layer_0,p001,0,0.35,0.0,0,15,0.21909581124782562
layer_0,p002,0,0.35,0.0,0,0,0.39882051944732666
layer_0,p002,0,0.35,0.0,0,1,0.19353878498077393
layer_0,p002,0,0.35,0.0,0,2,0.17983204126358032
layer_0,p002,0,0.35,0.0,0,3,0.2607679069042206
layer_0,p002,0,0.35,0.0,0,4,0.28852710127830505
layer_0,p002,0,0.35,0.0,0,5,0.3310088515281677
layer_0,p002,0,0.35,0.0,0,6,0.4014875888824463
layer_0,p002,0,0.35,0.0,0,7,0.4173623025417328
layer_0,p002,0,0.35,0.0,0,8,0.4013007879257202
layer_0,p002,0,0.35,0.0,0,9,0.39042121171951294
layer_0,p002,0,0.35,0.0,0,10,0.34274038672447205
layer_0,p002,0,0.35,0.0,0,11,0.26308673620224
layer_0,p002,0,0.35,0.0,0,12,0.22683393955230713
layer_0,p002,0,0.35,0.0,0,13,0.19993537664413452
layer_0,p002,0,0.35,0.0,0,14,0.2126951813697815
layer_0,p002,0,0.35,0.0,0,15,0.226395383477211
layer_0,p003,0,0.35,0.0,0,0,0.40472546219825745
layer_0,p003,0,0.35,0.0,0,1,0.18610146641731262
layer_0,p003,0,0.35,0.0,0,2,0.19298073649406433
layer_0,p003,0,0.35,0.0,0,3,0.26548507809638977
layer_0,p003,0,0.35,0.0,0,4,0.28993135690689087
layer_0,p003,0,0.35,0.0,0,5,0.33390992879867554
layer_0,p003,0,0.35,0.0,0,6,0.3874529004096985
layer_0,p003,0,0.35,0.0,0,7,0.4485534727573395
layer_0,p003,0,0.35,0.0,0,8,0.39958325028419495
layer_0,p003,0,0.35,0.0,0,9,0.3996671438217163
layer_0,p003,0,0.35,0.0,0,10,0.31195828318595886
layer_0,p003,0,0.35,0.0,0,11,0.271797239780426
layer_0,p003,0,0.35,0.0,0,12,0.2476247251033783
layer_0,p003,0,0.35,0.0,0,13,0.2052556574344635
layer_0,p003,0,0.35,0.0,0,14,0.24227336049079895
layer_0,p003,0,0.35,0.0,0,15,0.245340958237648
layer_0,p004,0,0.35,0.0,0,0,0.4108000695705414
layer_0,p004,0,0.35,0.0,0,1,0.19539208710193634
layer_0,p004,0,0.35,0.0,0,2,0.19241397082805634
layer_0,p004,0,0.35,0.0,0,3,0.26332905888557434
layer_0,p004,0,0.35,0.0,0,4,0.29876846075057983
layer_0,p004,0,0.35,0.0,0,5,0.34285596013069153
layer_0,p004,0,0.35,0.0,0,6,0.39546650648117065
layer_0,p004,0,0.35,0.0,0,7,0.46002769470214844
layer_0,p004,0,0.35,0.0,0,8,0.4183441996574402
layer_0,p004,0,0.35,0.0,0,9,0.4068969190120697
layer_0,p004,0,0.35,0.0,0,10,0.3209878206253052
layer_0,p004,0,0.35,0.0,0,11,0.28021571040153503
layer_0,p004,0,0.35,0.0,0,12,0.2452116310596466
layer_0,p004,0,0.35,0.0,0,13,0.20849604904651642
layer_0,p004,0,0.35,0.0,0,14,0.24069350957870483
layer_0,p004,0,0.35,0.0,0,15,0.24382105469703674
layer_0,p005,0,0.35,0.0,0,0,0.4104154407978058
layer_0,p005,0,0.35,0.0,0,1,0.20194971561431885
layer_0,p005,0,0.35,0.0,0,2,0.18961937725543976
layer_0,p005,0,0.35,0.0,0,3,0.25796112418174744
layer_0,p005,0,0.35,0.0,0,4,0.29982519149780273
layer_0,p005,0,0.35,0.0,0,5,0.3321765065193176
layer_0,p005,0,0.35,0.0,0,6,0.40590688586235046
layer_0,p005,0,0.35,0.0,0,7,0.40633469820022583
layer_0,p005,0,0.35,0.0,0,8,0.4162435531616211
layer_0,p005,0,0.35,0.0,0,9,0.3862425684928894
layer_0,p005,0,0.35,0.0,0,10,0.3266163170337677
layer_0,p005,0,0.35,0.0,0,11,0.26406773924827576
layer_0,p005,0,0.35,0.0,0,12,0.2269209772348404
layer_0,p005,0,0.35,0.0,0,13,0.19395017623901367
layer_0,p005,0,0.35,0.0,0,14,0.202339306473732
layer_0,p005,0,0.35,0.0,0,15,0.2130804806947708
layer_0,p006,0,0.35,0.0,0,0,0.40341421961784363
layer_0,p006,0,0.35,0.0,0,1,0.18890239298343658
layer_0,p006,0,0.35,0.0,0,2,0.18776553869247437
layer_0,p006,0,0.35,0.0,0,3,0.25958961248397827
layer_0,p006,0,0.35,0.0,0,4,0.29117363691329956
layer_0,p006,0,0.35,0.0,0,5,0.32364585995674133
layer_0,p006,0,0.35,0.0,0,6,0.3816567361354828
layer_0,p006,0,0.35,0.0,0,7,0.44546836614608765
layer_0,p006,0,0.35,0.0,0,8,0.397019624710083
layer_0,p006,0,0.35,0.0,0,9,0.3980768322944641
layer_0,p006,0,0.35,0.0,0,10,0.3014890253543854
layer_0,p006,0,0.35,0.0,0,11,0.26402533054351807
layer_0,p006,0,0.35,0.0,0,12,0.2284243106842041
layer_0,p006,0,0.35,0.0,0,13,0.20028658211231232
layer_0,p006,0,0.35,0.0,0,14,0.22641314566135406
layer_0,p006,0,0.35,0.0,0,15,0.23704934120178223
layer_0,p007,0,0.35,0.0,0,0,0.4042721688747406
layer_0,p007,0,0.35,0.0,0,1,0.19000312685966492
layer_0,p007,0,0.35,0.0,0,2,0.1871088594198227
layer_0,p007,0,0.35,0.0,0,3,0.2639741599559784
layer_0,p007,0,0.35,0.0,0,4,0.2996617257595062
layer_0,p007,0,0.35,0.0,0,5,0.34517431259155273
layer_0,p007,0,0.35,0.0,0,6,0.391042023897171
layer_0,p007,0,0.35,0.0,0,7,0.44277089834213257
layer_0,p007,0,0.35,0.0,0,8,0.4096035659313202
layer_0,p007,0,0.35,0.0,0,9,0.39819037914276123
layer_0,p007,0,0.35,0.0,0,10,0.29860609769821167
layer_0,p007,0,0.35,0.0,0,11,0.2598215341567993
layer_0,p007,0,0.35,0.0,0,12,0.19324785470962524
layer_0,p007,0,0.35,0.0,0,13,0.1850748509168625
layer_0,p007,0,0.35,0.0,0,14,0.1783907413482666
layer_0,p007,0,0.35,0.0,0,15,0.20517390966415405
layer_0,p008,0,0.35,0.0,0,0,0.4117482900619507
layer_0,p008,0,0.35,0.0,0,1,0.19920989871025085
layer_0,p008,0,0.35,0.0,0,2,0.20753885805606842
layer_0,p008,0,0.35,0.0,0,3,0.2898702919483185
layer_0,p008,0,0.35,0.0,0,4,0.30222538113594055
layer_0,p008,0,0.35,0.0,0,5,0.35001420974731445
layer_0,p008,0,0.35,0.0,0,6,0.42402032017707825
layer_0,p008,0,0.35,0.0,0,7,0.4483749270439148
layer_0,p008,0,0.35,0.0,0,8,0.45550572872161865
layer_0,p008,0,0.35,0.0,0,9,0.4207400381565094
layer_0,p008,0,0.35,0.0,0,10,0.351942241191864
layer_0,p008,0,0.35,0.0,0,11,0.2740647792816162
layer_0,p008,0,0.35,0.0,0,12,0.24788977205753326
layer_0,p008,0,0.35,0.0,0,13,0.20532771944999695
layer_0,p008,0,0.35,0.0,0,14,0.22757907211780548
layer_0,p008,0,0.35,0.0,0,15,0.2465987354516983
layer_0,p009,0,0.35,0.0,0,0,0.39860212802886963
layer_0,p009,0,0.35,0.0,0,1,0.1962990015745163
layer_0,p009,0,0.35,0.0,0,2,0.1766020655632019
layer_0,p009,0,0.35,0.0,0,3,0.264854371547699
layer_0,p009,0,0.35,0.0,0,4,0.283695250749588
layer_0,p009,0,0.35,0.0,0,5,0.3182772994041443
layer_0,p009,0,0.35,0.0,0,6,0.3884373605251312
layer_0,p009,0,0.35,0.0,0,7,0.408604234457016
layer_0,p009,0,0.35,0.0,0,8,0.4028184413909912
layer_0,p009,0,0.35,0.0,0,9,0.38507696986198425
layer_0,p009,0,0.35,0.0,0,10,0.30347177386283875
layer_0,p009,0,0.35,0.0,0,11,0.26055192947387695
layer_0,p009,0,0.35,0.0,0,12,0.22083820402622223
layer_0,p009,0,0.35,0.0,0,13,0.19762462377548218
layer_0,p009,0,0.35,0.0,0,14,0.20075875520706177
layer_0,p009,0,0.35,0.0,0,15,0.21035654842853546
layer_0,p010,0,0.35,0.0,0,0,0.42009177803993225
layer_0,p010,0,0.35,0.0,0,1,0.1994982212781906
layer_0,p010,0,0.35,0.0,0,2,0.19459590315818787
layer_0,p010,0,0.35,0.0,0,3,0.26443663239479065
layer_0,p010,0,0.35,0.0,0,4,0.3039085865020752
layer_0,p010,0,0.35,0.0,0,5,0.35116949677467346
layer_0,p010,0,0.35,0.0,0,6,0.4027917981147766
layer_0,p010,0,0.35,0.0,0,7,0.4530424475669861
layer_0,p010,0,0.35,0.0,0,8,0.40567588806152344
layer_0,p010,0,0.35,0.0,0,9,0.4092494249343872
